Watchdog,0xd000,uint32,100,holding
Target State,0xd102,uint32,100,holding
Real State,0x2500,int32,100,input
DC bus auto P setpoint,0xd104,uint32,100,holding
DC bus auto Q setpoint,0xd106,uint32,100,holding
E-stop triggered,0x4000,uint32,0,input
FCP fault,0x4000,uint32,1,input
FCP Pré-alarm,0x4000,uint32,2,input
FCP Alarm,0x4000,uint32,3,input
HVAC1 fault,0x4100,uint32,7,input
HVAC2 fault,0x4200,uint32,7,input
HVAC3 fault,0x4300,uint32,7,input
P measurement,9488,int32,100,input
Q measurement,9490,int32,100,input
Enclosure subsystem fault,0x2414,uint32,5,input
Aux frequency,0x3400,uint32,100,input
Aux total P,0x3412,uint32,100,input
